Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ng, E., Lim, L.P.","57202000812; 7401517261","An overview of different interdental cleaning AIDS and their effiectiveness",2019,"Dentistry Journal",7,"2", 56,,,,,10.3390/dj7020056,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067849315&partnerID=40&md5=c25ac9dd88ebf4f099d1fd86f8bc623e",Review,Final,Open Access,Scopus,2-s2.0-85067849315
"Srinivasan, M., Delavy, J., Schimmel, M., Duong, S., Zekry, D., Trombert, V., Gold, G., Müller, F.","10043433800; 57205350701; 24485630400; 57205348587; 6602770815; 6603302610; 35547512800; 9133808100","Prevalence of oral hygiene tools amongst hospitalised elders: A cross-sectional survey",2019,"Gerodontology",36,"2",,125,133,,,10.1111/ger.12388,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059686173&partnerID=40&md5=caa1d63265b627c194c932559614bee2",Article,Final,,Scopus,2-s2.0-85059686173
"Waldron, C., Nunn, J., Phadraig, C.M.G., Comiskey, C., Guerin, S., van Harten, M.T., Donnelly-Swift, E., Clarke, M.J.","55274485600; 35899242800; 57209283136; 6603291301; 8704903800; 57204587502; 36084202600; 57203600170","Oral hygiene interventions for people with intellectual disabilities",2019,"Cochrane Database of Systematic Reviews",2019,"5", CD012628,,,,1,10.1002/14651858.CD012628.pub2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066948738&partnerID=40&md5=eeb60878386316ccfb230be609e93df5",Review,Final,,Scopus,2-s2.0-85066948738
"Petker, W., Weik, U., Margraf-Stiksrud, J., Deinzer, R.","57209232689; 16481709000; 8550100500; 6602505197","Oral cleanliness in daily users of powered vs. manual toothbrushes - A cross-sectional study",2019,"BMC Oral Health",19,"1", 96,,,,,10.1186/s12903-019-0790-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066924890&partnerID=40&md5=32d6a36098d2fe1c57311d50b16a4eef",Article,Final,Open Access,Scopus,2-s2.0-85066924890
"Baumgartner, G., Wiedemeier, D.B., Hofer, D., Sener, B., Attin, T., Schmidlin, P.R.","57208678426; 47062222500; 35752091300; 7102013776; 7005564968; 55418823000","In vitro cleaning potential of waist-shaped interdental brushes",2019,"Swiss dental journal",129,"5",,360,367,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065509363&partnerID=40&md5=782592a2c08240fcf90f63e4b973d43a",Article,Final,,Scopus,2-s2.0-85065509363
"McGrath, C., Zhou, N., Wong, H.M.","7102335507; 57194521523; 55565690700","A systematic review and meta-analysis of dental plaque control among children and adolescents with intellectual disabilities",2019,"Journal of Applied Research in Intellectual Disabilities",32,"3",,522,532,,,10.1111/jar.12561,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061293363&partnerID=40&md5=420071593801f7a579efe610f384708a",Review,Final,,Scopus,2-s2.0-85061293363
"Ccahuana-Vasquez, R.A., Adam, R., Conde, E., Grender, J.M., Cunningham, P., Goyal, C.R., Qaqish, J.","15750223900; 7202478581; 55567603600; 6506117699; 57196663587; 8978896000; 6603888945","A 5-week randomized clinical evaluation of a novel electric toothbrush head with regular and tapered bristles versus a manual toothbrush for reduction of gingivitis and plaque",2019,"International Journal of Dental Hygiene",17,"2",,153,160,,,10.1111/idh.12372,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058849732&partnerID=40&md5=cb2b6c1dd64a27058805a23e66bd4d36",Article,Final,Open Access,Scopus,2-s2.0-85058849732
"Zhou, N., Wong, H.M., McGrath, C.","57194521523; 55565690700; 7102335507","Oral health and associated factors among preschool children with special healthcare needs",2019,"Oral Diseases",25,"4",,1221,1228,,,10.1111/odi.13057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064501394&partnerID=40&md5=f08d8e4a4439616671b629ee7add8459",Article,Final,,Scopus,2-s2.0-85064501394
"Wu, I.-J., Chang, T.-S., Hwang, S.-L., Chen, M.-Y.","57204765778; 35763615500; 55466673800; 55559812400","Effects of oral hygiene programme and home phone counselling for hepatitis C patients receiving antiviral treatment | 为接受抗病毒治疗的丙型肝炎患者实施口腔卫生计划和家庭电话咨询的效果",2019,"Journal of Advanced Nursing",75,"5",,1010,1017,,1,10.1111/jan.13896,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056997532&partnerID=40&md5=00c79cba3b564817c1f7ed8a3acd803a",Article,Final,,Scopus,2-s2.0-85056997532
"Rodrigues, R., Fernandes, M.H., Bessa Monteiro, A., Furfuro, R., Carvalho Silva, C., Vardasca, R., Mendes, J., Manso, M.C.","57201776356; 57200822577; 24461245600; 57201781401; 57206774001; 24491279800; 35931916900; 7006464236","Are there any solutions for improving the cleft area hygiene in patients with cleft lip and palate? A systematic review",2019,"International Journal of Dental Hygiene",17,"2",,130,141,,,10.1111/idh.12385,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061973067&partnerID=40&md5=94bac534e1370ffeaf2446183a8f8f60",Review,Final,,Scopus,2-s2.0-85061973067
"Shilpa, M., Jain, J., Shahid, F., Gufran, K., Sam, G., Khan, M.","57193256146; 54894835800; 56073275700; 56891777700; 55753202000; 57191537763","Efficacy of three types of plaque control methods during fixed orthodontic treatment: A randomized controlled trial",2019,"Journal of Pharmacy and Bioallied Sciences",11,"6",,S246,S251,,,10.4103/JPBS.JPBS_1_19,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067240489&partnerID=40&md5=f75382946a8fc19668b772e251da0729",Article,Final,Open Access,Scopus,2-s2.0-85067240489
"Mladenovic, R., Cvetkovic, A., Martinovic, B., Mladenovic, K., Zivkovic, M., Arsic, Z., Mladenovic, S., Lukovic, T.Z., Dakovic, D.","56888632200; 57196952110; 56888837600; 57208244202; 57208336462; 57208338022; 57208333382; 14052128700; 18433406100","Efficiency of chewable toothbrush in reduction of dental plaque in students",2019,"BMC Oral Health",19,"1", 58,,,,,10.1186/s12903-019-0748-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064526784&partnerID=40&md5=0e508adab38a8c6daa4337774990115e",Article,Final,Open Access,Scopus,2-s2.0-85064526784
"Worthington, H.V., Macdonald, L., Pericic, T.P., Sambunjak, D., Johnson, T.M., Imai, P., Clarkson, J.E.","7102322448; 57188631058; 57189615052; 56076874500; 55462741400; 37050948100; 35824881800","Home use of interdental cleaning devices, in addition to toothbrushing, for preventing and controlling periodontal diseases and dental caries",2019,"Cochrane Database of Systematic Reviews",2019,"4", CD012018,,,,,10.1002/14651858.CD012018.pub2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064427986&partnerID=40&md5=eb4e1da6bdb7f3842b409f03d33929fb",Review,Final,,Scopus,2-s2.0-85064427986
"Finisha, A.R., Darwita, R.R., Amalliah, I.","57200638012; 57193345779; 57208443826","Relationship between oral hygiene and the activity of dentinal caries after applying propolis fluoride on primary teeth",2019,"AIP Conference Proceedings",2092,"", 040016,,,,,10.1063/1.5096749,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064843936&partnerID=40&md5=5d9ac09f800258b03fb60742673e201a",Conference Paper,Final,,Scopus,2-s2.0-85064843936
"Wahyuni, H.N., Darwita, R.R., Adiatma, M.","57200639620; 57193345779; 57208441714","Empowering preschool teachers in motivating mothers to brush teeth of children 36-71 months",2019,"AIP Conference Proceedings",2092,"", 040015,,,,,10.1063/1.5096748,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064838628&partnerID=40&md5=45cbe6c189bac0612beebc3d63580ad6",Conference Paper,Final,,Scopus,2-s2.0-85064838628
"Yankell, S.L., Spirgel, C.M., Shi, X., Watcharotone, S., Cwik, J.","7007008816; 20735839500; 7402953741; 18134387300; 54583384400","Laboratory efficacy of an oscillating-rotating toothbrush with a uniquely designed head and extremely tapered bristles",2019,"American Journal of Dentistry",32,"2",,69,73,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066132538&partnerID=40&md5=3afd57bf88e3ac472b7ee41a209d5226",Article,Final,,Scopus,2-s2.0-85066132538
"Allan, R.M., Adams, V.J., Johnston, N.W.","7201443710; 57208072753; 7102687077","Prospective randomised blinded clinical trial assessing effectiveness of three dental plaque control methods in dogs",2019,"Journal of Small Animal Practice",60,"4",,212,217,,1,10.1111/jsap.12964,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058996246&partnerID=40&md5=acc4a3b2fac0745691ab46b480f06962",Article,Final,Open Access,Scopus,2-s2.0-85058996246
"Erbe, C., Klees, V., Braunbeck, F., Ferrari-Peron, P., Ccahuana-Vasquez, R.A., Timm, H., Grender, J., Cunningham, P., Adam, R., Wehrbein, H.","35726599400; 57203266078; 57207994623; 57203268845; 15750223900; 55371842500; 6506117699; 57196663587; 7202478581; 8377358200","Comparative assessment of plaque removal and motivation between a manual toothbrush and an interactive power toothbrush in adolescents with fixed orthodontic appliances: A single-center, examiner-blind randomized controlled trial",2019,"American Journal of Orthodontics and Dentofacial Orthopedics",155,"4",,462,472,,,10.1016/j.ajodo.2018.12.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063436414&partnerID=40&md5=95444e1e3ad1ec90e443dce0f1113fb3",Article,Final,Open Access,Scopus,2-s2.0-85063436414
"Alagl, A.S., Abdelsalam, M., El Tantawi, M., Madi, M., Aljindan, R., Alsayyah, A., AlHumaid, J., Hussameddin, A.M., Alsulaiman, R.M., AlQurain, A.","15053076400; 56606899600; 24449343600; 55192213300; 55936882100; 56124340600; 56892771700; 57198882401; 15844772100; 57195251601","Association between Helicobacter pylori gastritis and dental diseases: A cross-sectional, hospital-based study in Eastern Saudi Arabia",2019,"Journal of Periodontology",90,"4",,375,380,,,10.1002/JPER.18-0289,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064220460&partnerID=40&md5=b023169c65ae5475df3fac79f622284f",Article,Final,,Scopus,2-s2.0-85064220460
"Ebel, S., Blättermann, H., Weik, U., Margraf-Stiksrud, J., Deinzer, R.","57204276231; 57204267039; 16481709000; 8550100500; 6602505197","High Plaque Levels after Thorough Toothbrushing: What Impedes Efficacy?",2019,"JDR Clinical and Translational Research",4,"2",,135,142,,1,10.1177/2380084418813310,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058434348&partnerID=40&md5=8acd2ad017cdb3997615d67bb757d26a",Article,Final,,Scopus,2-s2.0-85058434348
"Haraszthy, V.I., Raylae, C.C., Sreenivasan, P.K.","6603050508; 57205672944; 7003305710","Antimicrobial effects of a stannous fluoride toothpaste in distinct oral microenvironments",2019,"Journal of the American Dental Association",150,"4",,S14,S24,,1,10.1016/j.adaj.2019.01.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061063783&partnerID=40&md5=106656a9ab54a74c4012b2ceb145e433",Article,Final,,Scopus,2-s2.0-85061063783
"Eden, E., Akyildiz, M., Sönmez, I.","7004743247; 57204596903; 57193538380","Comparison of Two School-Based Oral Health Education Programs in 9-Year-Old Children",2019,"International Quarterly of Community Health Education",39,"3",,189,196,,,10.1177/0272684X18819980,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058999330&partnerID=40&md5=0230f3f12e4ab47e062d0c5fed80ed25",Article,Final,,Scopus,2-s2.0-85058999330
"Al-Hashedi, A.A., Laurenti, M., Amine Mezour, M., Basiri, T., Touazine, H., Jahazi, M., Tamimi, F.","55865366500; 57200196906; 57203779380; 55782587800; 56582342700; 57203792328; 57203030698","Advanced inorganic nanocomposite for decontaminating titanium dental implants",2019,"Journal of Biomedical Materials Research - Part B Applied Biomaterials",107,"3",,761,772,,,10.1002/jbm.b.34170,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052960658&partnerID=40&md5=3cd5ed573f87e96dcf1e69ec7ab78729",Article,Final,,Scopus,2-s2.0-85052960658
"Suriamah, N., Lessang, R., Kemal, Y.","57209503177; 57190757943; 56589017400","Effectiveness of toothpaste containing propolis, tea tree oil, and sodium monofluorophosphate against plaque and gingivitis",2019,"International Journal of Applied Pharmaceutics",11,"",,114,116,,,10.22159/ijap.2019.v11s1.AR172,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067970258&partnerID=40&md5=cb722f917e4fc84dbbdffe559724641f",Article,Final,Open Access,Scopus,2-s2.0-85067970258
"Silva, M.S., Lima, A.N.D.A.N., Pereira, M.M.A., Ferraz Mendes, R., Prado Júnior, R.R.","57208498698; 57208491722; 57208484621; 36625854400; 55248327500","Prevalence and predictive factors of dentin hypersensitivity in Brazilian adolescents",2019,"Journal of Clinical Periodontology",46,"4",,448,456,,,10.1111/jcpe.13097,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064910858&partnerID=40&md5=7f8e0ac7251dbb64abddc42c99f178e4",Article,Final,,Scopus,2-s2.0-85064910858
"Razak, F.A., Musa, M.Y., Abusin, H.A.M., Salleh, N.M.","57200425237; 54900866300; 57208086182; 36892914800","Oxidizing effect of ozonated-water on microbial balance in the oral ecosystem",2019,"Journal of the College of Physicians and Surgeons Pakistan",29,"4",,387,389,,,10.29271/jcpsp.2019.04.387,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063749929&partnerID=40&md5=337449dd8f2021761aca8a00b49e0ffb",Article,Final,Open Access,Scopus,2-s2.0-85063749929
"Yonenaga, K., Hoshi, K., Miyamoto, Y., Kitahara, Y., Kamatsuka, M., Fujihara, Y., Suenaga, H., Takato, T.","24451636600; 35493370800; 57208346648; 57208342080; 57208347604; 8595907400; 7005747278; 7005470206","Investigating the efficacy of intraoral wet sheets",2019,"Tokai Journal of Experimental and Clinical Medicine",44,"1",,15,19,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064548357&partnerID=40&md5=73f72b9782dcf940d169ed054a43105f",Article,Final,,Scopus,2-s2.0-85064548357
"Dutra, T.T.B., Nogueira, B.R., Fernandes, R.F., Neto, J.M.M., Mendes, R.F., Júnior, R.R.P.","57191037242; 57208413703; 57191032825; 7103353038; 36625854400; 55248327500","The quality of toothbrushing in children with intellectual disabilities enrolled in an oral health promotion programme: A paired study",2019,"Oral Health and Preventive Dentistry",17,"2",,117,124,,,10.3290/j.ohpd.a42366,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064722686&partnerID=40&md5=f1dc977957a42aa40771d24fe548db14",Article,Final,,Scopus,2-s2.0-85064722686
"Kay, E., Shou, L.","56810561600; 57208284663","A randomised controlled trial of a smartphone application for improving oral hygiene",2019,"British Dental Journal",226,"7",,508,511,,,10.1038/s41415-019-0202-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064349232&partnerID=40&md5=bea0c70e5bc85d32b5590577a89bc1b6",Article,Final,,Scopus,2-s2.0-85064349232
"Alrabiah, M., Alrahlah, A., Al-Hamdan, R.S., Al-Aali, K.A., Labban, N., Abduljabbar, T.","57200014644; 55928928600; 36175536900; 57201307950; 25629700300; 6602542017","Survival of adjacent-dental-implants in prediabetic and systemically healthy subjects at 5-years follow-up",2019,"Clinical Implant Dentistry and Related Research",21,"2",,232,237,,,10.1111/cid.12715,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063627314&partnerID=40&md5=6cc9bac88ea638778f33480dd9988651",Article,Final,,Scopus,2-s2.0-85063627314
"Walsh, T., Worthington, H.V., Glenny, A.-M., Marinho, V.C.C., Jeroncic, A.","25630088500; 7102322448; 7004684536; 7004346070; 6505830208","Fluoride toothpastes of different concentrations for preventing dental caries",2019,"Cochrane Database of Systematic Reviews",2019,"3", CD007868,,,,8,10.1002/14651858.CD007868.pub3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062639120&partnerID=40&md5=b01522561711c334a624c9fe11325b65",Review,Final,,Scopus,2-s2.0-85062639120
"Magacz, M., Kędziora, K., Sapa, J., Krzyściak, W.","57208053364; 57208053890; 6602911437; 24471892800","The significance of lactoperoxidase system in oral health: Application and efficacy in oral hygiene products",2019,"International Journal of Molecular Sciences",20,"6", 1443,,,,,10.3390/ijms20061443,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063667335&partnerID=40&md5=cadc1358e5f5c187a22f60721aa008fb",Review,Final,Open Access,Scopus,2-s2.0-85063667335
"Rodrigues, R., Fernandes, M.H., Monteiro, A.B., Furfuro, R., Silva, C.C., Mendes, J., Manso, M.C.","57201776356; 57200822577; 57201775740; 57201781401; 57201772968; 35931916900; 7006464236","Oral hygiene of children with cleft lip and palate: Efficacy of the cleft toothbrush - A designed add-on to regular toothbrushes",2019,"International Journal of Paediatric Dentistry",29,"2",,213,220,,,10.1111/ipd.12447,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058416867&partnerID=40&md5=6ca8b2cbfba52ee12ca00aae63b09b52",Article,Final,,Scopus,2-s2.0-85058416867
"Shin, N.-R., Choi, J.-S.","57204756476; 57200539884","Manual dexterity and dental biofilm accumulation in independent older adults without hand disabilities: A cross-sectional study",2019,"Photodiagnosis and Photodynamic Therapy",25,"",,74,83,,,10.1016/j.pdpdt.2018.11.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85057067860&partnerID=40&md5=af11289a57e3d43ab7b5dfac5b67a0b4",Article,Final,,Scopus,2-s2.0-85057067860
"Vernon, L.T., Seacat, J.D., Demko, C.A., Paes B. da Silva, A., Zyzanski, S.J.","7004999201; 26431560900; 6603633741; 57192166301; 7006131112","A provider-observed tool to assess Oral Hygiene Skill Mastery (OHSIM) in human immunodeficiency virus-positive (HIV+) adults",2019,"Special Care in Dentistry",39,"2",,147,157,,,10.1111/scd.12355,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061455244&partnerID=40&md5=b03377d5dc4fd4875d7abd255e983be3",Article,Final,,Scopus,2-s2.0-85061455244
"Guedes, C.C., Bussadori, S.K., Weber, R., Motta, L.J., Costa Da Mota, A.C., Amancio, O.M.S.","13609598700; 6506344925; 14020860700; 45861500600; 57189580357; 6603334199","Halitosis: Prevalence and association with oral etiological factors in children and adolescents",2019,"Journal of Breath Research",13,"2", 026002,,,,,10.1088/1752-7163/aafc6f,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065666343&partnerID=40&md5=f66f806e4657cab8f9da40756fa7a657",Article,Final,,Scopus,2-s2.0-85065666343
"Dehghani, M., Abtahi, M., Hasanzadeh, N., Farahzad, Z., Noori, M., Noori, M.","55627408100; 6602804498; 35810357900; 57208177675; 57210083851; 57208179261","Effect of Propolis mouthwash on plaque and gingival indices over fixed orthodontic patients",2019,"Journal of Clinical and Experimental Dentistry",11,"3",,e244,e249,,,10.4317/jced.55026,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064059510&partnerID=40&md5=2b347bcaa12952aca1acfc515378b1d6",Article,Final,Open Access,Scopus,2-s2.0-85064059510
"Azeem, M., Afzal, A., Jawa, S.A., Ul Haq, A., Khan, M., Akram, H.","57195258285; 8982392800; 57209105405; 57202001756; 57209097140; 57200388865","Effectiveness of electric toothbrush as vibration method on orthodontic tooth movement: A split-mouth study",2019,"Dental Press Journal of Orthodontics",24,"2",,49,55,,,10.1590/2177-6709.24.2.049-055.oar,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066502100&partnerID=40&md5=c6873a74f90bfd3ca56d561206970685",Article,Final,Open Access,Scopus,2-s2.0-85066502100
"Aggarwal, T., Goswami, M., Dhillon, J.K.","57205471913; 14028429000; 21739174900","Assessment of Oral Health Educational Program on oral health status of visually impaired children in New Delhi",2019,"Special Care in Dentistry",39,"2",,140,146,,,10.1111/scd.12354,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060151975&partnerID=40&md5=df12249c7b3d8c1dd6eb481a82f865e3",Article,Final,,Scopus,2-s2.0-85060151975
"Sasanakul, P., Ampornaramveth, R.S., Chivatxaranukul, P.","57206656990; 57079055200; 24780481000","Influence of Adjuncts to Irrigation in the Disinfection of Large Root Canals",2019,"Journal of Endodontics",45,"3",,332,337,,,10.1016/j.joen.2018.11.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061838070&partnerID=40&md5=e59119991c6d1db5ed9e3b71f5a17e6a",Article,Final,,Scopus,2-s2.0-85061838070
"Siregar, I.H., Ningtyas, E.A.E., Sukini","57188859778; 57194586960; 57204042916","Oral health program for school children: Dependent or independent UKGS program",2019,"Indian Journal of Public Health Research and Development",10,"3",,848,852,,,10.5958/0976-5506.2019.00607.7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064331379&partnerID=40&md5=122ee8c17372af276b0e353dab1832fe",Article,Final,,Scopus,2-s2.0-85064331379
"Helenius-Hietala, J., Suominen, A.L., Ruokonen, H., Knuuttila, M., Puukka, P., Jula, A., Meurman, J.H., Åberg, F.","53984249000; 36651919200; 6507778766; 7006190282; 7003874269; 6701433067; 7006469347; 56418009100","Periodontitis is associated with incident chronic liver disease—A population-based cohort study",2019,"Liver International",39,"3",,583,591,,1,10.1111/liv.13985,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055511290&partnerID=40&md5=727e04e3174dc1044baeb17aa29ae94d",Article,Final,,Scopus,2-s2.0-85055511290
"Rickenbacher, O., Filippi, C., Zürcher, A., Filippi, A.","57208143048; 7006884044; 55206830800; 7006977733","Acceptance of a tongue vacuum cleaner among children and evaluation of tongue cleaning at home",2019,"Swiss dental journal",129,"2",,102,107,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063954039&partnerID=40&md5=7bd91f0741af052467e5acbd57f7ba77",Article,Final,,Scopus,2-s2.0-85063954039
"Zhang, R., Zhang, B., Li, M., He, J., Hu, T., Cheng, R.","57196261696; 57205953183; 57208192633; 57206574112; 55181628900; 16303109600","Application of a three-session-procedure based on experiential learning in a tooth brushing course for Chinese dental students",2019,"BMC Medical Education",19,"1", 44,,,,,10.1186/s12909-019-1471-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061145323&partnerID=40&md5=515e29363694121b1bab4b544f037362",Article,Final,Open Access,Scopus,2-s2.0-85061145323
"Gomes, A.F., Rekhi, A., Meru, S., Chahal, G.","57192664433; 56202023300; 57192666854; 57207270506","Efficacy, Safety and Patient Preference of Knotted Floss Technique in Type I Gingival Embrasures",2019,"Journal of dental hygiene : JDH",93,"1",,52,62,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062376656&partnerID=40&md5=a0473716b65150dbb11821e0ed9d4c5a",Article,Final,,Scopus,2-s2.0-85062376656
